Data from: 16/5/18:
P,Dryopteridaceae,Acrophorus,A,
A,Cunoniaceae,Acrophyllum,A,
A,Leguminosae,Acropodium,U,
A,Malvaceae,Acropogon,A,
B,Sematophyllaceae,Acroporium,A,
P,Pteridaceae,Acropteris,A,
P,Gleicheniaceae,Acropterygium,U,
A,Orchidaceae,Acrorchis,A,
P,Dryopteridaceae,Acrorumohra,A,
A,Aizoaceae,Acrosanthes,A,
B,Andreaeaceae,Acroschisma,A,
A,Brassicaceae,Acroschizocarpus,U,
B,Balantiopsaceae,Acroscyphella,A,
B,Balantiopsaceae,Acroscyphus,A,
A,Malvaceae,Acrosepalum,U,
P,Polypodiaceae,Acrosorus,A,
A,Asparagaceae,Acrospira,U,
A,Loranthaceae,Acrostachys,U,
A,Ericaceae,Acrostemon,A,
A,Loranthaceae,Acrostephanus,U,
P,Pteridaceae,Acrostichum,A,
B,Aneuraceae,Acrostolia,A,
A,Rubiaceae,Acrosynanthus,A,
A,Lamiaceae,Acrotome,A,
A,Dilleniaceae,Acrotrema,A,
A,Ericaceae,Acrotriche,A,
A,Lamiaceae,Acrymia,A,
A,Cunoniaceae,Acsmithia,A,
A,Ranunculaceae,Actaea,A,
A,Phyllanthaceae,Actephila,A,
A,Euphorbiaceae,Actephilopsis,U,
A,Loranthaceae,Actinanthella,A,
A,Apiaceae,Actinanthus,A,
A,Compositae,Actinea,A,
A,Compositae,Actinella,A,
A,Actinidiaceae,Actinidia,A,
P,Pteridaceae,Actiniopteris,A,
A,Compositae,Actinobole,A,
A,Boraginaceae,Actinocarya,A,
A,Eriocaulaceae,Actinocephalus,A,
A,Anacardiaceae,Actinocheita,A,
A,Poaceae,Actinocladum,A,
A,Lauraceae,Actinodaphne,A,
A,Myrtaceae,Actinodium,A,
B,Daltoniaceae,Actinodontium,A,
A,Arecaceae,Actinokentia,A,
A,Apiaceae,Actinolema,A,
A,Compositae,Actinolepis,U,
A,Compositae,Actinomeris,U,
P,Cyatheaceae,Actinophlebia,U,
A,Arecaceae,Actinorhytis,A,
A,Cyperaceae,Actinoschoenus,A,
A,Cyperaceae,Actinoscirpus,A,
A,Compositae,Actinoseris,A,
A,Compositae,Actinospermum,A,
A,Ranunculaceae,Actinospora,U,
P,Schizaeaceae,Actinostachys,A,
A,Cucurbitaceae,Actinostemma,A,
A,Euphorbiaceae,Actinostemon,A,
G,Cupressaceae,Actinostrobus,A,
B,Thuidiaceae,Actinothuidium,A,
A,Apiaceae,Actinotus,A,
A,Leguminosae,Acuan,U,
A,Leguminosae,Acuania,A,
A,Cornaceae,Acuba,U,
A,Rubiaceae,Acunaeanthus,A,
A,Apocynaceae,Acustelma,U,
A,Brassicaceae,Acuston,U,
P,Cystopteridaceae,Acystopteris,A,
A,Orchidaceae,Ada,A,
A,Orchidaceae,Adamantinia,A,
A,Melastomataceae,Adamea,A,
A,Hydrangeaceae,Adamia,U,
A,Malvaceae,Adansonia,A,
A,Compositae,Addisonia,U,
P,Dennstaedtiaceae,Adectum,A,
A,Icacinaceae,Adelanthus,A,
A,Melastomataceae,Adelbertia,U,
A,Euphorbiaceae,Adelia,A,
A,Oleaceae,Adelia,U,
A,Melastomataceae,Adelobotrys,A,
A,Boraginaceae,Adelocaryum,A,
B,Adelanthaceae,Adelocolia,A,
A,Acanthaceae,Adeloda,U,
A,Apocynaceae,Adelostemma,A,
A,Compositae,Adelostigma,A,
B,Daltoniaceae,Adelothecium,A,
A,Malpighiaceae,Adelphia,A,
A,Acanthaceae,Adenacanthus,U,
A,Compositae,Adenachaena,U,
A,Rutaceae,Adenandra,A,
A,Ochnaceae,Adenanthe,U,
A,Compositae,Adenanthellum,A,
A,Leguminosae,Adenanthera,A,
A,Proteaceae,Adenanthos,A,
A,Ochnaceae,Adenarake,A,
A,Lythraceae,Adenaria,A,
A,Caryophyllaceae,Adenarium,U,
A,Gentianaceae,Adenema,U,
A,Passifloraceae,Adenia,A,
A,Apocynaceae,Adenium,A,
A,Passifloraceae,Adenoa,A,
A,Elaeocarpaceae,Adenobasium,U,
A,Bignoniaceae,Adenocalymma,A,
A,Leguminosae,Adenocalyx,U,
A,Leguminosae,Adenocarpus,A,
A,Compositae,Adenocaulon,A,
A,Orchidaceae,Adenochilus,A,
A,Euphorbiaceae,Adenochlaena,A,
A,Euphorbiaceae,Adenocline,A,
A,Compositae,Adenocritonia,A,
A,Lauraceae,Adenodaphne,U,
P,Dryopteridaceae,Adenoderris,A,
A,Leguminosae,Adenodolichos,A,
A,Compositae,Adenoglossa,A,
A,Molluginaceae,Adenogramma,A,
A,Onagraceae,Adenola,U,
A,Linaceae,Adenolinum,U,
A,Gentianaceae,Adenolisianthus,A,
A,Leguminosae,Adenolobus,A,
A,Orchidaceae,Adenoncos,A,
